PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1508177262,GENDER_F,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_MI,,,
1508198094,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_OH,TRAMADOL,
1508201963,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_KS,TRAMADOL
1508203621,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_TN,TRAMADOL,
1508204058,GENDER_F,SPCLTY_Registered Nurse,STATE_CA,TRAMADOL,,,
1508204181,GENDER_M,HYDROCODONE,SPCLTY_General Surgery,STATE_MI,,,
1508291717,GENDER_M,HYDROCODONE,SPCLTY_Physician Assistant,STATE_IA,,,
1508801705,GENDER_M,SPCLTY_Nephrology,STATE_GA,TRAMADOL,,,
1508802216,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_OK,TRAMADOL
1508809203,GENDER_F,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_MI,,,
1508809344,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_SC,TRAMADOL
1508816596,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Nuclear Medicine,STATE_CA,TRAMADOL
1508818097,GENDER_M,SPCLTY_Anesthesiology,STATE_CT,TRAMADOL,,,
1508818253,GENDER_M,HYDROCODONE,SPCLTY_Pulmonary Disease,STATE_CA,TRAMADOL,,
1508819335,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_MO,TRAMADOL
1508819434,GENDER_M,HYDROCODONE,SPCLTY_Cardiology,STATE_MI,,,
